Protein Complex,Bile,Bladder,Bone,Brain,breast,cervical,colorectal,esophagel,Galbladder,Gastric,head,Kidney,Leukemia,liver,lung,lymphoma,Myeloma,Neuroblastoma,Non-cancerous,ovarian,pancreatic,prostate,Rhabdoid,Sarcoma,skin,testis,thyroid,Uncategorized,Uterine
"['O14579', 'P35606', 'P48444', 'P53618', 'P53621', 'Q9P299', 'Q9Y678']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P62877', 'Q13617', 'Q15369', 'Q15370', 'Q9UK73']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P51610', 'P61964', 'Q15291', 'Q6UXN9', 'Q8NFC6', 'Q96IK1', 'Q9C005', 'Q9P0U4', 'Q9UBL3', 'Q9UPS6', 'Q9Y5Z7']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A6NHQ4', 'O43189', 'O75530', 'Q15022', 'Q16576', 'Q92800']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P67870', 'P68400', 'Q06587', 'Q3KNV8', 'Q8N488', 'Q8WXX7']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O96019', 'P51532', 'P60709', 'Q12824', 'Q68CP9', 'Q86U86', 'Q8TAQ2', 'Q8WUB8', 'Q92922', 'Q92925', 'Q969G3', 'Q96GM5', 'Q9NPI1']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q5SY16', 'Q8IZL8', 'Q9BV38', 'Q9H4L4', 'Q9NU22', 'Q9NXF1', 'Q9Y4W2']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O96019', 'P51532', 'P60709', 'Q12824', 'Q6STE5', 'Q8NFD5', 'Q8TAQ2', 'Q8WUB8', 'Q92922', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O60674', 'P29459', 'P29460', 'P29597', 'P42701', 'Q99665']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A5YKK6', 'O75175', 'O95628', 'Q92600', 'Q96LI5', 'Q9C0C2', 'Q9H9A5', 'Q9NZN8', 'Q9UFF9', 'Q9UKZ1']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P62699', 'Q7L5Y9', 'Q8IUR7', 'Q8IVV7', 'Q96S59', 'Q9H7D7', 'Q9H871', 'Q9NWU2', 'Q9UL63']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A0AVF1', 'Q13099', 'Q8IY31', 'Q8N4P2', 'Q8TDR0', 'Q8WYA0', 'Q96AJ1', 'Q96LB3', 'Q9BW83', 'Q9H7X7', 'Q9NQC8', 'Q9NWB7', 'Q9P2H3', 'Q9UG01', 'Q9Y366', 'Q9Y547']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q14657', 'Q96S44', 'Q9BXV9', 'Q9NPF4', 'Q9Y3C4']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P01024', 'P01024', 'P06681', 'P0C0L5', 'P0C0L5', 'P0C0L5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P01568', 'P17181', 'P23458', 'P29597', 'P48551']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P17181', 'P23458', 'P29597', 'P48551', 'Q9P0W0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q12788', 'Q15269', 'Q8NI36', 'Q9NYH9', 'Q9UNX4', 'Q9Y5J1']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P49768', 'P49768', 'Q92542', 'Q96BI3', 'Q9NZ42']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P38398', 'P46736', 'P51587', 'Q06609', 'Q99728', 'Q9NXR7']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
